number,value,params_batch_size,params_eps_decay_pct,params_gamma,params_lr,params_target_update_freq,params_train_start,state,user_attrs_elapsed_s,user_attrs_n_episodes
0,28.01521132130446,32,0.8330880728874677,0.9965850010140859,0.0001025350969016849,152,1282,COMPLETE,1997.042513847351,759
1,25.943002671733726,32,0.5521211214797689,0.9510086402204943,0.000814829321010529,265,1145,COMPLETE,1544.6649963855743,827
2,25.734618291431666,32,0.7925879806965068,0.9642702278697041,0.0001464895513280072,510,559,COMPLETE,1481.1200742721558,758
3,28.172428997334297,64,0.8828160165372797,0.97902831387424,0.0002442886696734996,954,1655,COMPLETE,1453.2886402606964,930
4,26.44718966044456,32,0.8546602010393911,0.9547859335863128,6.639623079859457e-05,130,666,COMPLETE,1454.398954153061,775
5,23.89892828811533,64,0.4497687401294951,0.9842938754861582,0.0035554549718665646,960,1834,COMPLETE,1497.3822689056396,947
6,23.67186838130684,256,0.6952373447968648,0.9760634110778579,1.1017673455495124e-05,994,1903,COMPLETE,1435.1714282035828,1337
7,27.39722071109571,64,0.6866454888256146,0.9863275941178623,0.000766233770587531,763,1516,COMPLETE,1413.895531654358,893
8,26.513612229420023,128,0.89736350289332,0.9690747455855552,2.4981203113197238e-05,575,1517,COMPLETE,1387.0739850997925,889
9,29.570537622548862,64,0.5990031094619743,0.9978686781625088,0.0005650284253236263,741,280,COMPLETE,1456.2619836330414,827
10,28.53451834634843,128,0.5734694942078737,0.9976994066214449,0.0049802282257615385,694,262,COMPLETE,1531.260493516922,850
11,25.842906605348617,128,0.5685997476627254,0.9973015593572073,0.004479230565494863,699,239,COMPLETE,1452.8327872753143,974
12,27.947002722132755,128,0.5919071473389169,0.9907630826456041,0.001339708410560279,750,204,COMPLETE,1507.2820615768433,949
13,28.344076910728887,256,0.47079212082617566,0.9928794735004572,0.00039124708849754214,450,732,COMPLETE,1415.0343012809753,794
14,28.215929074316474,64,0.6389128700194534,0.9856132498097588,0.0019377882475524282,650,470,COMPLETE,1492.1029162406921,916
15,27.111232168172123,128,0.5111731784505639,0.9986449831863015,0.00044197062771274726,406,975,COMPLETE,1412.9406204223633,810
16,25.13926397001443,64,0.7504911938995089,0.99094124491546,0.0021080013383317805,837,427,COMPLETE,1490.1067988872528,957
17,28.51229625194253,128,0.41334152924390666,0.9805659481179847,4.969603124251648e-05,855,865,COMPLETE,1371.204153060913,812
18,23.84584695815156,256,0.6212172582974665,0.9650247884765953,0.0009082778077715409,603,367,COMPLETE,1566.6502132415771,955
19,23.781022094570243,128,0.5393216547855623,0.9928930863126865,0.002616958500287399,839,782,COMPLETE,1505.9435510635376,914
